epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9301.69,2.06691,3.09556,2.26196,0.66931,0.30014,0.30257,0.1409,1.921,2.77759,2.21458,0.000996313,0.000996313,0.000996313
43,9522.48,2.05004,3.21592,2.25472,0.79198,0.23432,0.3305,0.16542,1.8196,2.70957,2.12266,0.000990125,0.000990125,0.000990125
44,9744.35,2.04236,3.0675,2.24634,0.77822,0.26056,0.34051,0.1788,1.81005,2.67485,2.10276,0.000983938,0.000983938,0.000983938
45,9966.3,2.02975,3.04523,2.21323,0.76362,0.29958,0.34258,0.17551,1.8215,2.59609,2.16152,0.00097775,0.00097775,0.00097775
46,10187.8,2.05536,3.06345,2.24181,0.7136,0.33108,0.36138,0.19341,1.8471,2.60423,2.11045,0.000971562,0.000971562,0.000971562
47,10408.2,2.00095,2.97329,2.17747,0.83448,0.28056,0.37018,0.19355,1.72073,2.57182,2.0805,0.000965375,0.000965375,0.000965375
48,10628.9,1.9749,3.03563,2.19609,0.76587,0.33549,0.35816,0.18975,1.77562,2.50988,2.08969,0.000959187,0.000959187,0.000959187
49,10849.5,1.96323,3.01763,2.17541,0.70591,0.28981,0.33837,0.17132,1.81229,2.53355,2.13623,0.000953,0.000953,0.000953
50,11070.3,1.96671,2.95122,2.21494,0.81279,0.33345,0.38346,0.20119,1.80286,2.4001,2.10659,0.000946812,0.000946812,0.000946812
51,11291.1,1.97408,2.94927,2.1978,0.76315,0.33819,0.36729,0.19819,1.70436,2.40728,2.0537,0.000940625,0.000940625,0.000940625
52,11512,2.00298,2.97391,2.21924,0.73672,0.3214,0.37199,0.18476,1.82936,2.56957,2.14987,0.000934438,0.000934438,0.000934438
53,11733.6,1.98791,2.92088,2.19971,0.74118,0.35042,0.38188,0.2034,1.79676,2.44171,2.11188,0.00092825,0.00092825,0.00092825
54,11955.6,1.9435,2.869,2.15104,0.75884,0.32542,0.3974,0.2002,1.71739,2.42025,2.05589,0.000922063,0.000922063,0.000922063
55,12177.7,1.9947,3.01706,2.1911,0.82945,0.29986,0.42503,0.2265,1.74308,2.39055,2.08308,0.000915875,0.000915875,0.000915875
56,12398.6,1.93714,2.85623,2.15417,0.78796,0.32764,0.40849,0.21391,1.73011,2.29149,2.02723,0.000909688,0.000909688,0.000909688
57,12618.8,1.99911,2.89822,2.18166,0.77224,0.32375,0.38266,0.19834,1.80204,2.37234,2.06757,0.0009035,0.0009035,0.0009035
58,12839.6,1.95076,2.95027,2.16893,0.8256,0.29836,0.44198,0.22338,1.71227,2.22947,2.03717,0.000897313,0.000897313,0.000897313
59,13060.2,1.97875,2.84725,2.17176,0.77692,0.32694,0.3978,0.20216,1.79021,2.21948,2.07006,0.000891125,0.000891125,0.000891125
60,13281.6,1.95371,2.78712,2.16913,0.81498,0.32819,0.41202,0.21439,1.73872,2.29156,2.02685,0.000884938,0.000884938,0.000884938
61,13501.9,1.93636,2.73587,2.16282,0.74972,0.34133,0.40437,0.22227,1.73221,2.30539,2.07661,0.00087875,0.00087875,0.00087875
62,13723.6,1.98005,2.81488,2.19104,0.82174,0.33167,0.41172,0.21771,1.679,2.3178,2.02354,0.000872563,0.000872563,0.000872563
63,13944.1,1.93034,2.72217,2.14684,0.76054,0.36363,0.43595,0.24196,1.73162,2.22074,2.05303,0.000866375,0.000866375,0.000866375
64,14164.7,1.89982,2.78654,2.11898,0.75436,0.37973,0.41704,0.2259,1.70928,2.24718,2.03996,0.000860188,0.000860188,0.000860188
65,14384.7,1.94316,2.84898,2.16766,0.70874,0.38839,0.44587,0.2413,1.6965,2.22676,2.01612,0.000854,0.000854,0.000854
66,14604,1.96375,2.83409,2.17913,0.72935,0.37291,0.43699,0.23428,1.69716,2.35114,2.02023,0.000847813,0.000847813,0.000847813
67,14824.4,1.94712,2.76702,2.15108,0.82237,0.34727,0.42113,0.21476,1.80281,2.22384,2.10058,0.000841625,0.000841625,0.000841625
68,15045.2,1.90197,2.72802,2.11924,0.71213,0.40046,0.44308,0.23144,1.71967,2.16072,2.03096,0.000835438,0.000835438,0.000835438
69,15266.4,1.84058,2.59433,2.07968,0.73596,0.39149,0.43935,0.23521,1.69922,2.19983,2.03479,0.00082925,0.00082925,0.00082925
70,15487,1.87452,2.73076,2.0831,0.68548,0.43991,0.47543,0.23671,1.72647,2.15342,2.03901,0.000823063,0.000823063,0.000823063
71,15707.3,1.91929,2.68334,2.1201,0.77516,0.37125,0.43675,0.22558,1.71416,2.15715,2.06323,0.000816875,0.000816875,0.000816875
72,15927.9,1.86115,2.64016,2.07501,0.6717,0.3929,0.41056,0.22098,1.73647,2.22709,2.07556,0.000810688,0.000810688,0.000810688
73,16148.7,1.90314,2.74275,2.12475,0.67054,0.42782,0.45221,0.24666,1.68199,2.15916,2.02449,0.0008045,0.0008045,0.0008045
74,16369.7,1.8693,2.58171,2.08962,0.82904,0.34916,0.46079,0.24069,1.76801,2.16936,2.07454,0.000798313,0.000798313,0.000798313
