epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,39563,1.45626,1.66609,1.76104,0.68763,0.66356,0.70925,0.46265,1.34438,1.29797,1.81971,0.000148625,0.000148625,0.000148625
180,39784.6,1.47383,1.77787,1.78754,0.75814,0.66075,0.71874,0.45773,1.33333,1.29767,1.82025,0.000142437,0.000142437,0.000142437
181,40004.8,1.45649,1.75894,1.76876,0.72188,0.66521,0.71288,0.45645,1.34585,1.28085,1.81691,0.00013625,0.00013625,0.00013625
182,40225.8,1.43417,1.75658,1.76415,0.74012,0.67649,0.71925,0.46305,1.31,1.28391,1.76977,0.000130062,0.000130062,0.000130062
183,40445.6,1.48032,1.75813,1.80198,0.74529,0.65906,0.69937,0.45509,1.29912,1.29936,1.75297,0.000123875,0.000123875,0.000123875
184,40667,1.48552,1.76118,1.78007,0.76814,0.65625,0.70477,0.46019,1.27606,1.31125,1.71885,0.000117687,0.000117687,0.000117687
185,40888.8,1.46884,1.83666,1.76215,0.78535,0.65278,0.71085,0.46233,1.27443,1.28915,1.72345,0.0001115,0.0001115,0.0001115
186,41109.1,1.46192,1.87438,1.76968,0.80059,0.68028,0.72568,0.47018,1.28061,1.26651,1.73737,0.000105312,0.000105312,0.000105312
187,41330.7,1.4589,1.71802,1.75998,0.68792,0.66986,0.70243,0.45898,1.25978,1.29608,1.72225,9.9125e-05,9.9125e-05,9.9125e-05
188,41551.1,1.45676,1.79027,1.78836,0.79274,0.63393,0.71286,0.46373,1.26832,1.26791,1.71288,9.29375e-05,9.29375e-05,9.29375e-05
189,41771.5,1.44255,1.7659,1.7491,0.73751,0.63255,0.70377,0.46021,1.2522,1.26384,1.71269,8.675e-05,8.675e-05,8.675e-05
190,41991.9,1.42979,1.83147,1.74456,0.77752,0.63903,0.70028,0.46737,1.25982,1.27588,1.71341,8.05625e-05,8.05625e-05,8.05625e-05
191,42213.9,1.2563,1.34716,1.61324,0.80823,0.65922,0.71525,0.47236,1.24077,1.27073,1.68799,7.4375e-05,7.4375e-05,7.4375e-05
192,42435.2,1.2531,1.29106,1.58083,0.81758,0.66648,0.72891,0.47604,1.23266,1.25392,1.69268,6.81875e-05,6.81875e-05,6.81875e-05
193,42657.1,1.26923,1.27457,1.63463,0.78122,0.65737,0.73386,0.48376,1.23256,1.24538,1.69113,6.2e-05,6.2e-05,6.2e-05
194,42877.9,1.21727,1.24901,1.57535,0.77818,0.67681,0.73874,0.4865,1.2439,1.22842,1.69795,5.58125e-05,5.58125e-05,5.58125e-05
195,43099,1.2784,1.30555,1.63126,0.82613,0.66257,0.73726,0.48129,1.25488,1.23612,1.7047,4.9625e-05,4.9625e-05,4.9625e-05
196,43319.7,1.23534,1.28945,1.59556,0.85418,0.6631,0.73897,0.48458,1.25005,1.24015,1.69773,4.34375e-05,4.34375e-05,4.34375e-05
197,43540.3,1.23136,1.24001,1.58717,0.84121,0.66667,0.73595,0.48853,1.23343,1.24864,1.68008,3.725e-05,3.725e-05,3.725e-05
198,43762.1,1.23054,1.23257,1.58623,0.86743,0.67191,0.73757,0.48709,1.23258,1.24185,1.68286,3.10625e-05,3.10625e-05,3.10625e-05
199,43982,1.27621,1.23141,1.62748,0.86208,0.67845,0.74466,0.49714,1.22196,1.23767,1.67067,2.4875e-05,2.4875e-05,2.4875e-05
200,44202.9,1.23056,1.26975,1.60355,0.87449,0.67708,0.74981,0.5,1.2196,1.23467,1.66866,1.86875e-05,1.86875e-05,1.86875e-05
